City,Cuisine,Name,Price,Rating,Region,Url,Year,Zip Code,Latitude,Longitude
Kleinwalsertal,Creative,Kilian Stuba,$$$$$,1,Austria,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba,2019,87568,47.34858,10.17114
Hallwang,Classic cuisine,Pfefferschiff,$$$$$,1,Austria,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff,2019,5300,47.83787,13.07917
Salzburg,Creative,Esszimmer,$$$$$,1,Austria,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer,2019,5020,47.80685,13.03409
Salzburg,Market cuisine,Carpe Diem,$$$$$,1,Austria,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,2019,5020,47.80001,13.04006
Wien,Modern cuisine,Edvard,$$$$,1,Austria,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard,2019,1010,48.216503,16.36852
Wien,Modern cuisine,Das Loft,$$$$$,1,Austria,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,2019,1020,48.21272,16.37931
Wien,Creative,Pramerl & the Wolf,$$$$$,1,Austria,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf,2019,1090,48.20945,16.37174
Wien,Classic cuisine,Walter Bauer,$$$$$,1,Austria,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer,2019,1010,48.20923,16.37672
Wien,Japanese,SHIKI,$$$$$,1,Austria,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki,2019,1010,48.204067,16.37098
Wien,Vegetarian,Tian,$$$$$,1,Austria,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian,2019,1010,48.20513,16.37456
Wien,Modern cuisine,aend,$$$$$,1,Austria,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,2019,1010,48.18957,16.34115
Wien,Classic cuisine,Le Ciel by Toni Mörwald,$$$$$,1,Austria,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald,2019,1010,48.20209,16.37156
South San Francisco,Contemporary,Chez TJ,$$$$,1,California,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj,2019,94041,37.39468,-122.08044
South San Francisco,Contemporary,Protégé,$$$,1,California,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege,2019,94301,37.427853,-122.14362
San Francisco,Contemporary,Madera,$$$,1,California,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera,2019,94025,37.42014,-122.21151
San Francisco,Contemporary,The Village Pub,$$$,1,California,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-village-pub,2019,94062,37.42897,-122.25178
South San Francisco,Contemporary,Plumed Horse,$$$$,1,California,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse,2019,95070,37.25648,-122.03537
San Francisco,Japanese,Wakuriya,$$$$,1,California,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wakuriya,2019,94402,37.52114,-122.3366
San Francisco,Japanese,Sushi Yoshizumi,$$$$,1,California,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sushi-yoshizumi,2019,94401,37.565075,-122.3211
San Francisco,Indian,Rasa,$$,1,California,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rasa,2019,94010,37.577522,-122.345985
South San Francisco,Korean,Maum,$$$$,1,California,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/maum,2019,94101,37.72669,-122.414215
San Francisco,Californian,Al's Place,$$,1,California,https://guide.michelin.com/us/en/california/san-francisco/restaurant/al-s-place,2019,94110,37.748924,-122.42013
San Francisco,Californian,Aster,$$$,1,California,https://guide.michelin.com/us/en/california/san-francisco/restaurant/aster,2019,94110,37.755054,-122.423134
San Francisco,Japanese,Omakase,$$$$,1,California,https://guide.michelin.com/us/en/california/san-francisco/restaurant/omakase,2019,94103,37.77077,-122.40298
San Francisco,Contemporary,Commonwealth,$$,1,California,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commonwealth,2019,94110,37.761395,-122.41946
San Francisco,Contemporary,Luce,$$$,1,California,https://guide.michelin.com/us/en/california/san-francisco/restaurant/luce,2019,94103,37.78194,-122.40498
